# topic,phase,start_s,duration_s,rate_mps,payload_kb
home/livingroom/temperature,0,0,20,0.1,550
home/livingroom/humidity,0,0,20,0.1,550
home/kitchen/motion,0,0,20,0.1,550
home/bedroom/temperature,0,0,20,0.1,550
office/livingroom/temperature,0,0,20,0.1,550
office/kitchen/humidity,0,0,20,0.1,550
office/bedroom/motion,0,0,20,0.1,550
warehouse/livingroom/temperature,0,0,20,0.1,550
warehouse/kitchen/humidity,0,0,20,0.1,550
warehouse/bedroom/motion,0,0,20,0.1,550
home/kitchen/temperature,0,0,20,0.1,550
office/livingroom/motion,0,0,20,0.1,550

home/livingroom/temperature,1,20,20,0.3,550
home/livingroom/humidity,1,20,20,0.3,550
home/kitchen/motion,1,20,20,0.3,550
home/bedroom/temperature,1,20,20,0.3,550
office/livingroom/temperature,1,20,20,0.3,550
office/kitchen/humidity,1,20,20,0.3,550
office/bedroom/motion,1,20,20,0.3,550
warehouse/livingroom/temperature,1,20,20,0.3,550
warehouse/kitchen/humidity,1,20,20,0.3,550
warehouse/bedroom/motion,1,20,20,0.3,550
home/kitchen/temperature,1,20,20,0.3,550
office/livingroom/motion,1,20,20,0.3,550

# Hot topics begin to rise at 40s
home/livingroom/temperature,2,40,20,0.8,550
office/livingroom/temperature,2,40,20,0.8,550
warehouse/livingroom/temperature,2,40,20,0.8,550
home/kitchen/temperature,2,40,20,0.8,550
home/livingroom/humidity,2,40,20,0.3,550
home/kitchen/motion,2,40,20,0.3,550
home/bedroom/temperature,2,40,20,0.3,550
office/kitchen/humidity,2,40,20,0.3,550
office/bedroom/motion,2,40,20,0.3,550
warehouse/kitchen/humidity,2,40,20,0.3,550
warehouse/bedroom/motion,2,40,20,0.3,550
office/livingroom/motion,2,40,20,0.3,550

# 60–80s: hot higher
home/livingroom/temperature,3,60,20,1.2,550
office/livingroom/temperature,3,60,20,1.2,550
warehouse/livingroom/temperature,3,60,20,1.2,550
home/kitchen/temperature,3,60,20,1.2,550
home/livingroom/humidity,3,60,20,0.3,550
home/kitchen/motion,3,60,20,0.3,550
home/bedroom/temperature,3,60,20,0.3,550
office/kitchen/humidity,3,60,20,0.3,550
office/bedroom/motion,3,60,20,0.3,550
warehouse/kitchen/humidity,3,60,20,0.3,550
warehouse/bedroom/motion,3,60,20,0.3,550
office/livingroom/motion,3,60,20,0.3,550

# 80–100s: hot higher
home/livingroom/temperature,4,80,20,1.6,550
office/livingroom/temperature,4,80,20,1.6,550
warehouse/livingroom/temperature,4,80,20,1.6,550
home/kitchen/temperature,4,80,20,1.6,550
home/livingroom/humidity,4,80,20,0.3,550
home/kitchen/motion,4,80,20,0.3,550
home/bedroom/temperature,4,80,20,0.3,550
office/kitchen/humidity,4,80,20,0.3,550
office/bedroom/motion,4,80,20,0.3,550
warehouse/kitchen/humidity,4,80,20,0.3,550
warehouse/bedroom/motion,4,80,20,0.3,550
office/livingroom/motion,4,80,20,0.3,550

# 100–120s: hot peak
home/livingroom/temperature,5,100,20,2.0,550
office/livingroom/temperature,5,100,20,2.0,550
warehouse/livingroom/temperature,5,100,20,2.0,550
home/kitchen/temperature,5,100,20,2.0,550
home/livingroom/humidity,5,100,20,0.3,550
home/kitchen/motion,5,100,20,0.3,550
home/bedroom/temperature,5,100,20,0.3,550
office/kitchen/humidity,5,100,20,0.3,550
office/bedroom/motion,5,100,20,0.3,550
warehouse/kitchen/humidity,5,100,20,0.3,550
warehouse/bedroom/motion,5,100,20,0.3,550
office/livingroom/motion,5,100,20,0.3,550
